transaction_id,customer_id,customer_segment,account_age_days,prior_successful_payments,payment_method,transaction_amount,original_failure_at,failure_reason,retry_attempt_number,retry_window_minutes,retry_window_bucket,retry_at,hour_of_day,time_of_day_bucket,retry_success
T0000001,C02900,new,36,1,debit_card,72.39,2025-06-18T12:26:24,processing_error,1,15,short,2025-06-18T12:41:24,12,afternoon,1
T0000002,C03800,loyal,2313,167,credit_card,20.57,2025-02-18T00:29:10,insufficient_funds,1,73,medium,2025-02-18T01:42:10,0,night,1
T0000003,C00565,returning,139,14,upi,29.01,2025-03-24T19:30:50,bank_decline_generic,1,2,immediate,2025-03-24T19:32:50,19,evening,0
T0000004,C01772,loyal,984,183,credit_card,86.13,2025-06-01T10:31:24,insufficient_funds,3,3882,long,2025-06-04T03:13:24,10,morning,1
T0000005,C02767,returning,476,18,paypal,134.84,2025-05-08T15:19:47,incorrect_cvv,1,5,immediate,2025-05-08T15:24:47,15,afternoon,1
T0000006,C03701,loyal,2768,102,paypal,12.13,2025-04-13T00:01:20,processing_error,1,228,medium,2025-04-13T03:49:20,0,night,1
T0000007,C02887,loyal,2099,172,paypal,98.89,2025-05-16T20:37:12,network_error,1,54,short,2025-05-16T21:31:12,20,evening,1
T0000008,C03440,returning,147,19,bank_transfer,23.58,2025-05-28T10:21:31,network_error,1,1487,long,2025-05-29T11:08:31,10,morning,1
T0000009,C00165,new,59,2,paypal,234.75,2025-04-14T23:04:06,processing_error,1,3399,long,2025-04-17T07:43:06,23,evening,1
T0000010,C03587,loyal,2234,165,upi,57.05,2025-06-29T10:07:05,bank_decline_generic,2,331,medium,2025-06-29T15:38:05,10,morning,0
T0000011,C02795,loyal,1798,188,credit_card,37.26,2025-06-13T14:13:50,expired_card,1,1,immediate,2025-06-13T14:14:50,14,afternoon,0
T0000012,C01820,loyal,1811,94,paypal,69.9,2025-01-06T19:40:36,insufficient_funds,1,1,immediate,2025-01-06T19:41:36,19,evening,0
T0000013,C00841,returning,650,15,credit_card,100.23,2025-03-31T05:28:14,processing_error,2,3,immediate,2025-03-31T05:31:14,5,night,0
T0000014,C02760,returning,233,17,digital_wallet,73.91,2025-01-31T14:00:10,incorrect_cvv,2,27,short,2025-01-31T14:27:10,14,afternoon,1
T0000015,C00618,returning,552,18,credit_card,57.6,2025-02-14T18:10:17,processing_error,1,995,medium,2025-02-15T10:45:17,18,evening,0
T0000016,C01822,loyal,1880,194,credit_card,34.25,2025-04-26T15:36:13,card_not_activated,2,23,short,2025-04-26T15:59:13,15,afternoon,1
T0000017,C02935,new,40,1,debit_card,90.94,2025-01-04T09:18:24,fraud_suspected,1,6,short,2025-01-04T09:24:24,9,morning,0
T0000018,C03436,returning,293,12,upi,50.69,2025-03-18T21:37:45,fraud_suspected,1,2,immediate,2025-03-18T21:39:45,21,evening,0
T0000019,C03547,returning,199,6,credit_card,64.21,2025-04-18T06:33:34,insufficient_funds,2,2,immediate,2025-04-18T06:35:34,6,morning,0
T0000020,C00593,new,17,2,credit_card,220.68,2025-03-23T18:34:05,fraud_suspected,1,1,immediate,2025-03-23T18:35:05,18,evening,0
